order_id,order_time,product_id,store_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
16643,2025-09-13 15:06:20,205,7,2,580.2,20.0,Paid,1
9546,2025-09-13 15:06:32,84,14,4,223.91,15.0,Refunded,1
18067,2025-09-13 15:08:24,97,1,0,613.13,15.0,Refunded,0
27775,2025-09-13 15:11:41,85,12,1,35.88,15.0,Failed,1
2857,2025-09-13 15:16:03,147,14,4,626.86,5.0,Paid,1
1254,2025-09-13 15:17:57,68,12,3,641.66,15.0,Refunded,0
20996,2025-09-13 15:25:46,253,7,2,523.39,5.0,Paid,0
15914,2025-09-13 15:25:50,45,11,1,710.9,0.0,Failed,1
19377,2025-09-13 15:26:36,108,15,2,458.1,20.0,Refunded,1
28187,2025-09-13 15:35:57,144,10,0,321.15,15.0,Failed,0
23188,2025-09-13 15:36:15,255,14,1,684.31,10.0,Paid,1
26930,2025-09-13 15:40:03,218,16,3,68.8,10.0,Paid,1
29622,2025-09-13 16:01:59,256,6,1,395.68,,Paid,0
12737,2025-09-13 16:04:28,157,15,3,27.03,10.0,Refunded,0
16897,2025-09-13 16:06:46,64,8,2,623.42,,Refunded,1
4794,2025-09-13 16:07:50,25,1,3,419.8,5.0,Paid,0
6043,2025-09-13 16:28:07,193,2,1,502.1,15.0,Refunded,0
19602,2025-09-13 16:45:17,189,17,2,643.58,5.0,Paid,1
17858,2025-09-13 16:46:25,291,10,2,316.81,15.0,Refunded,1
6057,2025-09-13 16:50:48,30,7,3,45.73,0.0,Failed,0
5630,2025-09-13 17:02:00,220,9,1,511.14,10.0,Failed,0
14102,2025-09-13 17:08:29,55,12,1,162.14,15.0,Paid,0
4142,2025-09-13 17:10:34,143,11,2,420.16,10.0,Failed,1
14350,2025-09-13 17:17:07,294,1,1,66.43,5.0,Paid,0
2978,2025-09-13 17:21:59,252,4,0,241.8,5.0,Paid,1
5050,2025-09-13 17:32:27,239,16,0,54.64,20.0,Failed,1
4850,2025-09-13 17:38:49,159,14,3,299.76,10.0,Refunded,0
3430,2025-09-13 17:51:34,180,13,2,752.78,0.0,Paid,1
18244,2025-09-13 17:51:56,107,9,1,446.29,15.0,Refunded,1
6354,2025-09-13 17:53:53,275,7,3,421.04,0.0,Paid,0
538,2025-09-13 18:01:08,72,1,0,362.55,10.0,Failed,0
689,2025-09-13 18:03:15,98,14,2,250.05,10.0,Failed,0
1318,2025-09-13 18:13:24,280,16,3,606.56,0.0,Refunded,1
25186,2025-09-13 18:29:27,289,15,2,100.95,20.0,Paid,1
1625,2025-09-13 18:47:56,22,8,3,31.59,15.0,Refunded,1
9365,2025-09-13 18:49:23,264,4,2,337.71,0.0,Failed,0
